date,a,b,z
2024-12-18,3382.208,10584.27,
2024-12-19,3370.033,10649.034,
2024-12-20,3368.069,10646.617,
2024-12-23,3351.257,10537.402,
2024-12-24,3393.528,10671.428,
2024-12-25,3393.35,10603.1,
2024-12-26,3398.077,10673.969,
2024-12-27,3400.142,10659.976,
2024-12-30,3407.326,10671.155,
2024-12-31,3351.763,10414.611,
2025-01-02,3262.561,10088.059,
2025-01-03,3211.43,9897.12,
2025-01-06,3206.923,9885.654,
2025-01-07,3229.644,9998.757,
2025-01-08,3230.168,9944.641,
2025-01-09,3211.393,9976.004,
2025-01-10,3168.524,9795.943,
2025-01-13,3160.755,9796.177,
2025-01-14,3240.94,10165.169,
2025-01-15,3227.117,10060.13,
2025-01-16,3236.032,10101.095,
2025-01-17,3241.821,10161.321,
2025-01-20,3244.378,10256.396,
2025-01-21,3242.623,10305.693,
2025-01-22,3213.624,10225.871,
2025-01-23,3230.164,10176.174,
2025-01-24,3252.626,10292.729,
2025-01-27,3250.601,10156.066,
2025-02-05,3229.488,10164.224,
2025-02-06,3270.659,10393.634,
2025-02-07,3303.667,10576.003,
2025-02-10,3322.17,10631.246,
2025-02-11,3318.057,10557.622,
2025-02-12,3346.385,10708.884,
2025-02-13,3332.483,10626.624,
2025-02-14,3346.724,10749.456,
2025-02-17,3355.83,10791.06,
2025-02-18,3324.491,10617.261,
2025-02-19,3351.539,10772.654,
2025-02-20,3350.783,10794.545,
2025-02-21,3379.113,10991.369,
2025-02-24,3373.028,10983.043,
2025-02-25,3346.04,10854.495,
2025-02-26,3380.214,10955.648,
2025-02-27,3388.062,10927.508,
2025-02-28,3320.897,10611.24,
2025-03-03,3316.925,10649.592,
2025-03-04,3324.21,10679.436,
2025-03-05,3341.965,10709.46,
2025-03-06,3381.098,10898.751,
2025-03-07,3372.546,10843.732,
2025-03-10,3366.163,10825.704,
2025-03-11,3379.828,10861.164,
2025-03-12,3371.924,10843.227,
2025-03-13,3358.729,10736.194,
2025-03-14,3419.562,10978.299,
2025-03-17,3426.129,10957.818,
2025-03-18,3429.759,11014.747,
2025-03-19,3426.429,10979.052,
2025-03-20,3408.948,10879.489,-0.4257187098680536
2025-03-21,3364.831,10687.554,-0.09656543428194554
2025-03-24,3370.028,10695.488,-0.03882837271253646
2025-03-25,3369.976,10649.076,0.24735364870400603
2025-03-26,3368.697,10643.819,0.2608521278971938
2025-03-27,3373.749,10668.101,0.21578984807223905
2025-03-28,3351.307,10607.331,0.16758760501324246
2025-03-31,3335.746,10504.332,0.5132340935335209
2025-04-01,3348.435,10503.655,0.7734157262726328
2025-04-02,3350.127,10513.117,0.750521589184668
2025-04-03,3342.008,10365.731,1.5305925467325299
2025-04-07,3096.576,9364.498,3.0203356953596954
2025-04-08,3145.549,9424.68,3.3173907033111107
2025-04-09,3186.81,9539.892,3.121228411428393
2025-04-10,3223.638,9754.644,2.4148957401949978
2025-04-11,3238.227,9834.444,2.1630226909984223
2025-04-14,3262.808,9884.302,2.1933150123310337
2025-04-15,3267.662,9858.097,2.2962885233385193
2025-04-16,3276.004,9774.728,2.6454718840545173
2025-04-17,3280.341,9759.047,2.57984426706656
2025-04-18,3276.73,9781.647,2.297363806492569
2025-04-21,3291.434,9905.528,1.883646442271741
2025-04-22,3299.757,9870.054,2.0217684045005617
2025-04-23,3296.355,9935.797,1.6565918364368912
2025-04-24,3297.288,9878.315,1.7970864321397313
2025-04-25,3295.06,9917.055,1.564228121085695
2025-04-28,3288.415,9855.196,1.646044539697133
2025-04-29,3286.655,9849.802,1.5805672395868033
2025-04-30,3279.031,9899.821,1.2904416079916732
2025-05-06,3316.114,10082.335,1.0256117609938755
2025-05-07,3342.665,10104.129,1.1792877569040314
2025-05-08,3351.996,10197.659,0.9363363961668104
2025-05-09,3341.999,10126.825,1.0325193880348733
2025-05-12,3369.245,10301.158,0.7167640677885477
2025-05-13,3374.871,10288.083,0.7861717657003029
2025-05-14,3403.948,10354.223,0.8297791247047323
2025-05-15,3380.821,10186.448,1.1021752729673322
2025-05-16,3367.462,10179.596,0.9627267700606914
2025-05-19,3367.583,10171.09,0.9588204942727931
2025-05-20,3380.478,10249.173,0.8063796277571129
2025-05-21,3387.574,10294.221,0.7054349751507839
2025-05-22,3380.189,10219.621,0.8446922291244496
2025-05-23,3348.372,10132.412,0.7884584042639743
2025-05-26,3346.839,10091.158,0.883089888511999
2025-05-27,3340.687,10029.111,1.0021091752022766
2025-05-28,3339.932,10003.265,1.0519152526988167
2025-05-29,3363.446,10127.204,0.836017073491962
2025-05-30,3347.487,10040.627,0.9417939485049478
2025-06-03,3361.976,10057.17,1.0067324652539194
2025-06-04,3376.203,10144.581,0.8179361695965046
2025-06-05,3384.099,10203.501,0.6653503410887657
2025-06-06,3385.358,10183.699,0.7272556900804563
2025-06-09,3399.772,10250.138,0.61519133171247
2025-06-10,3384.816,10162.181,0.7579417719383694
2025-06-11,3402.316,10246.021,0.6089719767309587
2025-06-12,3402.658,10234.335,0.6366926379694915
2025-06-13,3376.996,10122.114,0.7658947423027088
2025-06-16,3388.729,10163.547,0.7161389421845274
2025-06-17,3387.405,10151.427,0.736888414891757
2025-06-18,3388.809,10175.588,0.6209094887578686
2025-06-19,3362.108,10051.966,0.8333670782419671
2025-06-20,3359.895,10005.032,1.0445570854093462
2025-06-23,3381.582,10048.394,1.1623870736413573
2025-06-24,3420.566,10217.629,0.8304660676962645
2025-06-25,3455.974,10393.724,0.364898885236157
2025-06-26,3448.453,10343.479,0.5335719335499873
2025-06-27,3424.227,10378.55,-0.34855016017897683
2025-06-30,3444.426,10465.12,-0.6848661904053608
2025-07-01,3457.747,10476.294,-0.5410670183757338
2025-07-02,3454.792,10412.628,-0.045213090980274755
2025-07-03,3461.151,10534.584,-1.6163374934751593
2025-07-04,3472.319,10508.761,-0.7357961030576142
2025-07-07,3473.127,10435.507,0.38925729505197343
2025-07-08,3497.475,10588.395,-0.7563334700538212
2025-07-09,3493.05,10581.798,-0.8514751491974472
2025-07-10,3509.682,10631.126,-0.8488632209431205
2025-07-11,3510.177,10696.098,-1.7292872674639295
2025-07-14,3519.65,10684.517,-1.1223381268559893
2025-07-15,3504.999,10744.562,-2.449229960872519
2025-07-16,3503.777,10720.807,-2.0952745262895816
2025-07-17,3516.826,10873.619,-3.254410690068164
2025-07-18,3534.483,10913.839,-2.8104789610517793
2025-07-21,3559.791,11007.487,-2.752475833449812
2025-07-22,3581.861,11099.831,-2.7556591586134727
2025-07-23,3582.298,11059.037,-2.202584466549093
2025-07-24,3605.727,11193.06,-2.5782263535752494
2025-07-25,3593.655,11168.142,-2.503288256246578
2025-07-28,3597.937,11217.581,-2.602786485205022
2025-07-29,3609.711,11289.406,-2.6551881757878517
2025-07-30,3615.717,11203.029,-1.787939586626818
2025-07-31,3573.208,11009.769,-1.2850023300379905
2025-08-01,3559.952,10991.321,-1.4067174216836638
2025-08-04,3583.309,11041.56,-1.210990432768872
2025-08-05,3617.598,11106.957,-0.9165610408340564
2025-08-06,3633.995,11177.782,-1.0400346838856263
2025-08-07,3639.667,11157.94,-0.7666528057333774
2025-08-08,3635.128,11128.673,-0.6389180878889796
2025-08-11,3647.547,11291.426,-1.4425846675082845
2025-08-12,3665.918,11351.633,-1.410806171919313
2025-08-13,3683.465,11551.365,-2.217016092553009
2025-08-14,3666.443,11451.435,-1.8377909469569798
2025-08-15,3696.771,11634.668,-2.2242945462807726
2025-08-18,3728.027,11835.572,-2.5899195991865733
2025-08-19,3727.288,11821.626,-2.361982609826451
2025-08-20,3766.21,11926.741,-2.143141823375445
2025-08-21,3771.099,11919.763,-1.936800438562711
2025-08-22,3825.759,12166.061,-2.149446666520669
2025-08-25,3883.562,12441.067,-2.3874413410714785
2025-08-26,3868.382,12473.174,-2.5403633112109336
2025-08-27,3800.35,12295.069,-2.5185754147430583
2025-08-28,3843.597,12571.371,-2.78290923045063
2025-08-29,3857.927,12696.15,-2.8015962165374195
2025-09-01,3875.53,12828.952,-2.790540394062848
2025-09-02,3858.133,12553.838,-2.0128985692919756
2025-09-03,3813.557,12471.995,-2.0865499346518557
2025-09-04,3765.876,12118.702,-1.4373998809569588
2025-09-05,3812.514,12590.562,-2.243992700986262
2025-09-08,3826.841,12666.842,-2.1955271328509345
2025-09-09,3807.292,12510.597,-1.8602290799961598
2025-09-10,3812.221,12557.68,-1.855579379569021
2025-09-11,3875.309,12979.892,-2.269027806613043
2025-09-12,3870.598,12924.135,-2.0697366645443838
2025-09-15,3860.504,13005.774,-2.2306998479168905
2025-09-16,3861.865,13063.974,-2.2325894893064757
2025-09-17,3876.341,13215.457,-2.3199554409527834
2025-09-18,3831.656,13075.658,-2.221896336258009
2025-09-19,3820.089,13070.863,-2.1691353315009163
2025-09-22,3828.576,13157.974,-2.1616943744925847
2025-09-23,3821.833,13119.817,-2.0252412064886522
2025-09-24,3853.642,13356.143,-2.151135008354528
2025-09-25,3853.302,13445.896,-2.18944051545489
2025-09-26,3828.106,13208.996,-1.836526511222386
2025-09-29,3862.532,13479.428,-2.0083396583967406
2025-09-30,3882.777,13526.509,-1.8815046781754499
2025-10-09,3933.972,13725.557,-1.8345876222533888
2025-10-10,3897.028,13355.419,-1.3845928401972223
2025-10-13,3889.502,13231.466,-1.1793277169423113
2025-10-14,3865.229,12895.107,-0.7144378042017976
2025-10-15,3912.21,13118.754,-0.8025853315914644
2025-10-16,3916.228,13086.409,-0.6960672591337004
2025-10-17,3839.755,12688.936,-0.41638225812515334
2025-10-20,3863.893,12813.208,-0.47466988223615497
2025-10-21,3916.332,13077.316,-0.6133169126318684
2025-10-22,3913.758,12996.608,-0.4585825902031561
2025-10-23,3922.41,13025.446,-0.43516897523246745
2025-10-24,3950.312,13289.185,-0.7244236483467897
2025-10-27,3996.945,13489.403,-0.7758394962681762
2025-10-28,3988.224,13430.104,-0.6946033823870079
2025-10-29,4016.331,13691.383,-0.9679956076439162
2025-10-30,3986.901,13532.126,-0.8307545535365226
2025-10-31,3954.79,13378.212,-0.7195907347017513
2025-11-03,3976.521,13404.063,-0.6023177943721395
2025-11-04,3960.186,13175.221,-0.2289204153268421
2025-11-05,3969.248,13223.56,-0.237118568893049
2025-11-06,4007.76,13452.417,-0.4208388026624654
2025-11-07,3997.556,13404.056,-0.36215991328299635
2025-11-10,4018.597,13427.612,-0.22341247328129585
