date,a,b,z
2024-12-18,3941.89,5888.616,
2024-12-19,3945.464,5901.916,
2024-12-20,3927.744,5917.175,
2024-12-23,3933.572,5818.551,
2024-12-24,3983.688,5895.259,
2024-12-25,3985.629,5840.289,
2024-12-26,3987.48,5887.061,
2024-12-27,3981.031,5899.167,
2024-12-30,3999.055,5898.884,
2024-12-31,3934.911,5725.732,
2025-01-02,3820.395,5545.817,
2025-01-03,3775.165,5427.804,
2025-01-06,3768.97,5427.101,
2025-01-07,3796.106,5484.685,
2025-01-08,3789.215,5461.586,
2025-01-09,3779.877,5456.586,
2025-01-10,3732.481,5369.281,
2025-01-13,3722.513,5381.697,
2025-01-14,3820.54,5572.272,
2025-01-15,3796.026,5522.459,
2025-01-16,3800.384,5545.634,
2025-01-17,3812.343,5587.294,
2025-01-20,3829.676,5614.331,
2025-01-21,3832.615,5633.925,
2025-01-22,3797.017,5607.06,
2025-01-23,3803.744,5584.255,
2025-01-24,3832.864,5649.95,
2025-01-27,3817.08,5589.343,
2025-02-05,3795.085,5614.387,
2025-02-06,3842.831,5747.901,
2025-02-07,3892.703,5833.988,
2025-02-10,3901.062,5888.551,
2025-02-11,3883.135,5858.28,
2025-02-12,3919.862,5940.53,
2025-02-13,3905.14,5898.261,
2025-02-14,3939.009,5947.796,
2025-02-17,3947.398,5948.72,
2025-02-18,3912.783,5840.711,
2025-02-19,3940.16,5943.882,
2025-02-20,3928.896,5957.546,
2025-02-21,3978.444,6057.065,
2025-02-24,3969.717,6044.973,
2025-02-25,3925.651,5979.965,
2025-02-26,3959.941,6051.74,
2025-02-27,3968.116,6028.986,
2025-02-28,3890.049,5859.871,
2025-03-03,3888.474,5885.77,
2025-03-04,3885.221,5937.63,
2025-03-05,3902.571,5950.704,
2025-03-06,3956.237,6047.773,
2025-03-07,3944.014,6013.775,
2025-03-10,3928.802,6013.619,
2025-03-11,3941.416,6044.974,
2025-03-12,3927.232,6040.497,
2025-03-13,3911.579,5993.967,
2025-03-14,4006.557,6099.981,
2025-03-17,3996.788,6108.018,
2025-03-18,4007.723,6133.302,
2025-03-19,4010.168,6101.437,
2025-03-20,3974.992,6059.486,-1.0217797872981211
2025-03-21,3914.696,5971.93,-1.0306030003234434
2025-03-24,3934.849,5969.079,-0.7475406133919089
2025-03-25,3932.295,5946.951,-0.5977047176991598
2025-03-26,3919.357,5948.499,-0.744039422501736
2025-03-27,3932.412,5957.602,-0.6393006205522656
2025-03-28,3915.166,5916.031,-0.49454121553052993
2025-03-31,3887.306,5857.772,-0.348099142852391
2025-04-01,3887.684,5892.85,-0.6090574963973419
2025-04-02,3884.386,5899.086,-0.6767333560418903
2025-04-03,3861.503,5845.504,-0.4992839864263746
2025-04-07,3589.441,5287.033,0.8443307780376718
2025-04-08,3650.759,5326.914,1.3454081845437527
2025-04-09,3686.794,5439.771,0.8334213597833988
2025-04-10,3735.115,5544.064,0.5658080379403533
2025-04-11,3750.517,5581.318,0.47501778212245876
2025-04-14,3759.142,5627.138,0.1919373248644799
