entry,stop,exit,R,t_in,t_out
60126.0,59159.311428571425,60367.311428571425,0.24962685574612198,2026-07-02 04:00:00,2026-07-02 06:00:00
59761.73,58661.29428571429,62898.56428571429,2.8505384230921584,2026-07-02 08:00:00,2026-07-06 15:00:00
62664.77,61931.04,62822.06,0.2143704087334602,2026-07-06 17:00:00,2026-07-06 18:00:00
61754.01,60985.3,61768.21,0.018472505886481385,2026-07-06 20:00:00,2026-07-06 21:00:00
63545.98,62714.09714285714,63868.11714285714,0.38723858785061543,2026-07-06 23:00:00,2026-07-07 05:00:00
64042.02,62914.148571428566,63186.12857142857,-0.7588554926473358,2026-07-07 07:00:00,2026-07-07 11:00:00
63128.01,62175.22571428572,63083.18,-0.047051573658557604,2026-07-07 13:00:00,2026-07-07 15:00:00
63256.0,62480.27285714286,63096.27285714286,-0.20590634777692188,2026-07-07 17:00:00,2026-07-07 21:00:00
63930.51,63102.822857142855,63416.06285714285,-0.6215478243159552,2026-07-07 23:00:00,2026-07-08 03:00:00
63423.94,62538.23857142857,63038.01,-0.43573374452209646,2026-07-08 05:00:00,2026-07-08 09:00:00
62766.0,61709.30857142857,62800.0,0.03217590214199572,2026-07-08 11:00:00,2026-07-08 12:00:00
62657.81,61777.637142857144,62888.35,0.2619258230120402,2026-07-08 14:00:00,2026-07-08 15:00:00
63248.1,62404.18,63156.07,-0.10905062091193363,2026-07-10 03:00:00,2026-07-10 09:00:00
63947.2,63120.53,63866.16,-0.09803186277473934,2026-07-10 11:00:00,2026-07-10 22:00:00
64140.01,63419.31857142857,63819.0,-0.44541947812021976,2026-07-11 00:00:00,2026-07-12 07:00:00
64133.61,63715.44142857143,63959.93,-0.41533489570166676,2026-07-12 09:00:00,2026-07-12 13:00:00
63885.27,63452.112857142856,63961.61,0.1762408891527421,2026-07-12 15:00:00,2026-07-12 17:00:00
64018.01,63560.0,63920.4,-0.21311761751926847,2026-07-12 19:00:00,2026-07-13 05:00:00
63780.0,63406.658571428576,64051.658571428576,0.7276411098228933,2026-07-13 07:00:00,2026-07-13 08:00:00
63375.99,62842.59857142857,62849.55857142857,-0.9869514213630317,2026-07-13 10:00:00,2026-07-13 11:00:00
64621.43,63823.811428571425,64802.381428571425,0.22686461305349478,2026-07-15 01:00:00,2026-07-16 00:00:00
64860.0,64100.10428571428,64295.49428571428,-0.7428726122193479,2026-07-16 02:00:00,2026-07-16 15:00:00
64090.0,63472.50714285715,64221.34,0.2126988166433344,2026-07-16 17:00:00,2026-07-16 18:00:00
63966.01,63365.49571428572,64376.0,0.6827314682652933,2026-07-16 20:00:00,2026-07-16 21:00:00
64704.73,64009.141428571435,64016.41142857143,-0.9895484194269236,2026-07-16 23:00:00,2026-07-17 01:00:00
64271.84,63462.69714285714,64114.27,-0.19473693502824874,2026-07-17 03:00:00,2026-07-17 04:00:00
63968.0,63297.99857142857,63830.2,-0.20567120325969912,2026-07-17 06:00:00,2026-07-17 07:00:00
64218.0,64025.154285714285,64025.16428571429,-0.9999481450752532,2026-07-18 20:00:00,2026-07-18 21:00:00
64123.12,63919.04,64109.92,-0.0646805174441604,2026-07-18 23:00:00,2026-07-19 00:00:00
64512.41,64271.79714285715,64726.637142857144,0.8903395496024958,2026-07-19 02:00:00,2026-07-19 10:00:00
64720.17,64383.04142857143,64478.52142857143,-0.7167846095173414,2026-07-19 12:00:00,2026-07-19 19:00:00
64483.31,64167.21142857143,64435.90142857143,-0.1499803406713003,2026-07-19 21:00:00,2026-07-20 01:00:00
64462.58,64095.85,64533.27,0.1927576145938277,2026-07-20 03:00:00,2026-07-20 06:00:00
64553.84,64111.76857142857,64587.328571428574,0.07575375666506462,2026-07-20 08:00:00,2026-07-20 09:00:00
64869.8,64284.485714285714,64284.67571428571,-0.9996753880699099,2026-07-20 11:00:00,2026-07-20 13:00:00
64280.01,63576.24142857143,63652.23142857143,-0.8920241637876113,2026-07-20 15:00:00,2026-07-20 16:00:00
64301.18,63425.462857142855,64344.01,0.04890848643234628,2026-07-20 18:00:00,2026-07-20 21:00:00
65598.75,64615.857142857145,65973.25714285714,0.3810253987863783,2026-07-20 23:00:00,2026-07-22 13:00:00
65843.48,65317.58857142857,65638.67857142858,-0.3894367115428271,2026-07-22 15:00:00,2026-07-22 20:00:00
65793.98,65224.38571428571,65814.40571428572,0.035860110956186436,2026-07-22 22:00:00,2026-07-23 02:00:00
65919.68,65252.572857142855,65830.0,-0.134431179399316,2026-07-23 04:00:00,2026-07-23 09:00:00
65662.53,65008.99,65616.48,-0.07046240474952237,2026-07-23 11:00:00,2026-07-23 12:00:00
65790.0,65245.46714285714,65442.13,-0.638841156115464,2026-07-23 14:00:00,2026-07-23 15:00:00
65638.92,65133.29142857142,65740.0,0.19990958919591023,2026-07-23 17:00:00,2026-07-23 18:00:00
64734.38,64448.99428571428,65217.21428571428,1.6918656454923044,2026-07-27 02:00:00,2026-07-27 06:00:00
65131.95,64739.561428571425,65352.211428571434,0.5613349740781949,2026-07-27 08:00:00,2026-07-27 15:00:00
65262.17,64748.08,64917.91,-0.6696492831994342,2026-07-27 17:00:00,2026-07-27 20:00:00
64687.45,64096.14571428571,64554.01,-0.2256706119401817,2026-07-27 22:00:00,2026-07-27 23:00:00
65019.81,64295.27857142857,64821.25,-0.2740529839975368,2026-07-28 01:00:00,2026-07-28 05:00:00
63755.86,62911.23428571429,63487.88,-0.3172766297159559,2026-07-28 07:00:00,2026-07-28 08:00:00
64664.7,64033.03571428571,64087.205714285716,-0.9142424208157502,2026-07-29 21:00:00,2026-07-29 22:00:00
63808.33,63108.408571428576,63948.868571428575,0.2007919256243078,2026-07-30 00:00:00,2026-07-30 02:00:00
63522.01,62574.05714285714,63860.0,0.3565472665156614,2026-07-30 04:00:00,2026-07-30 05:00:00
64788.0,64183.97142857143,64805.53142857143,0.029024171042047846,2026-07-30 19:00:00,2026-07-31 09:00:00
64370.0,63713.29142857143,64300.0,-0.10659218265984478,2026-07-31 11:00:00,2026-07-31 12:00:00
64231.97,63656.29714285715,63950.01,-0.4897920694044993,2026-07-31 14:00:00,2026-07-31 15:00:00
63715.9,63110.39428571429,63918.67,0.3348771039084177,2026-07-31 17:00:00,2026-07-31 18:00:00
63317.6,62900.67428571428,63212.16,-0.2528987692223215,2026-08-03 08:00:00,2026-08-03 09:00:00
62870.49,62419.218571428566,62790.0,-0.17836272120041205,2026-08-03 11:00:00,2026-08-03 12:00:00
63869.38,63163.724285714285,63538.154285714285,-0.46938713536953314,2026-08-04 03:00:00,2026-08-04 15:00:00
63603.73,63047.09714285715,63636.90714285715,0.059603277872312406,2026-08-04 17:00:00,2026-08-04 22:00:00
63950.93,63332.12857142858,63962.62857142858,0.018905210764597107,2026-08-05 00:00:00,2026-08-05 21:00:00
64388.01,63838.03428571429,64475.24428571429,0.15861479597800648,2026-08-05 23:00:00,2026-08-06 10:00:00
64734.65,64316.275714285715,64580.625714285714,-0.3681495038618912,2026-08-06 12:00:00,2026-08-06 19:00:00
64434.01,64043.421428571426,64459.411428571424,0.06503372200194284,2026-08-06 21:00:00,2026-08-06 22:00:00
64757.99,64264.78571428571,64418.47,-0.6883962889906435,2026-08-07 00:00:00,2026-08-07 02:00:00
